unique_id	timestamp	model_name	runtime	trials	dt_range_UTC	best_param	test_rmse	seed
37a2eb65-4a14-4d9f-bbbd-48afe752138e	1595314515	HALLWF2	000:03:33	50	2018-06-09 01:30:00~2020-07-21 05:30:00	{'colsample_bytree': 0.8910603183513804, 'gamma': 2.3969456972745755, 'max_depth': 15.0, 'min_child_weight': 6.0, 'n_estimators': 175.0, 'reg_alpha': 65.0, 'reg_lambda': 0.6619791046442363}	9.323020737175453	7584
a458d26a-7033-4405-ad03-d046ede56336	1595314756	HDWF2	000:04:00	50	2018-06-04 03:30:00~2020-07-21 05:30:00	{'colsample_bytree': 0.8755771776194609, 'gamma': 3.652167577306449, 'max_depth': 11.0, 'min_child_weight': 8.0, 'n_estimators': 200.0, 'reg_alpha': 85.0, 'reg_lambda': 0.6835909698604167}	12.32765435364558	7584
25bf4e5c-ab7c-4e45-95e0-d727897f88b8	1595314962	LKBONNY2	000:03:25	50	2018-06-10 03:30:00~2020-07-21 05:30:00	{'colsample_bytree': 0.7270843746371316, 'gamma': 3.586591134557122, 'max_depth': 15.0, 'min_child_weight': 3.0, 'n_estimators': 125.0, 'reg_alpha': 158.0, 'reg_lambda': 0.16755915224634788}	15.929185715097697	7584
47515f0c-49b3-478b-9fdb-20b8e20213af	1595315142	MTMILLAR	000:02:59	50	2018-06-11 02:30:00~2020-07-21 05:30:00	{'colsample_bytree': 0.8898536633620112, 'gamma': 4.586641647067647, 'max_depth': 14.0, 'min_child_weight': 4.0, 'n_estimators': 150.0, 'reg_alpha': 78.0, 'reg_lambda': 0.40060274691284314}	6.846663665042073	7584
5a059da0-a84d-44b5-9f82-f8bf74fac505	1595315338	NBHWF1	000:03:15	50	2018-06-12 15:30:00~2020-07-21 05:30:00	{'colsample_bytree': 0.941966148064528, 'gamma': 1.3055521606504543, 'max_depth': 15.0, 'min_child_weight': 10.0, 'n_estimators': 200.0, 'reg_alpha': 197.0, 'reg_lambda': 0.9608974558253478}	16.048153772345394	7584
39ee147d-3abc-4c11-8d68-8e56294c50ad	1595315606	SNOWNTH1	000:04:27	50	2018-06-13 02:30:00~2020-07-21 05:30:00	{'colsample_bytree': 0.9206850577224592, 'gamma': 1.0180721225496305, 'max_depth': 13.0, 'min_child_weight': 9.0, 'n_estimators': 200.0, 'reg_alpha': 198.0, 'reg_lambda': 0.980958572143068}	16.72963675401662	7584
0f9178b7-ec39-4837-aa34-187fa81d644f	1595315817	SNOWSTH1	000:03:30	50	2018-06-14 00:30:00~2020-07-21 05:30:00	{'colsample_bytree': 0.9953684802636867, 'gamma': 8.469188273916687, 'max_depth': 12.0, 'min_child_weight': 6.0, 'n_estimators': 200.0, 'reg_alpha': 93.0, 'reg_lambda': 0.8336843838009362}	15.997863864015024	7584
922d2a6a-99ad-4cfa-b8f4-ac7034c66f76	1595315981	STARHLWF	000:02:43	50	2018-06-15 22:30:00~2020-07-21 05:30:00	{'colsample_bytree': 0.662203761143343, 'gamma': 1.0276516355555614, 'max_depth': 10.0, 'min_child_weight': 6.0, 'n_estimators': 175.0, 'reg_alpha': 47.0, 'reg_lambda': 0.5692062974532612}	3.6889033125096358	7584
f2cb9634-9849-4c78-aa5f-48a060c5c9d8	1595316181	WATERLWF	000:03:20	50	2018-06-16 02:30:00~2020-07-21 05:30:00	{'colsample_bytree': 0.9784670938531697, 'gamma': 3.7001786522932663, 'max_depth': 13.0, 'min_child_weight': 10.0, 'n_estimators': 175.0, 'reg_alpha': 106.0, 'reg_lambda': 0.006288553289593768}	14.833159800736437	7584
141db291-939d-4d31-ae3d-6e1bdc2a8b1a	1595316388	WPWF	000:03:26	50	2018-06-17 00:30:00~2020-07-21 05:30:00	{'colsample_bytree': 0.8352965456301992, 'gamma': 5.332814236079648, 'max_depth': 13.0, 'min_child_weight': 10.0, 'n_estimators': 175.0, 'reg_alpha': 50.0, 'reg_lambda': 0.7603706854128736}	11.026087348593787	7584
